"case_1","case_2","accused_in_common"
"Caso Gürtel/Fitur","Caso Gürtel/Primera Época",3
"Caso Mercasevilla","Caso Mercasevilla/Escuela Hostelería",1
"Caso Mercasevilla","Caso Mercasevilla/Guardería",1
"Caso Mercasevilla/Escuela Hostelería","Caso Mercasevilla/Guardería",1
"Caso La Loma","Caso Mioño",3
"Caso Mioño","Caso Proconor",3
"Caso Mioño","Caso Santa Catalina",3
"Caso Marchelo","Caso Villarejo/Pintor",2
"Caso Bitácora","Caso Inestur/Cilma",1
"Caso Bitácora","Caso Inestur/Mario Morales",1
"Caso Bitácora","Caso Inestur/Marxant",1
"Caso Bitácora","Caso Inestur/Minser",1
"Caso Bitácora","Caso Inestur/Porreres",1
"Caso Bitácora","Caso Inestur/Spa",1
"Caso Inestur/Cilma","Caso Inestur/Mario Morales",1
"Caso Inestur/Cilma","Caso Inestur/Marxant",2
"Caso Inestur/Cilma","Caso Inestur/Porreres",1
"Caso Inestur/Cilma","Caso Inestur/Spa",1
"Caso Inestur/Mario Morales","Caso Inestur/Marxant",1
"Caso Inestur/Mario Morales","Caso Inestur/Minser",1
"Caso Inestur/Mario Morales","Caso Inestur/Porreres",1
"Caso Inestur/Mario Morales","Caso Inestur/Spa",1
"Caso Inestur/Marxant","Caso Inestur/Minser",2
"Caso Inestur/Marxant","Caso Inestur/Spa",2
"Caso Inestur/Minser","Caso Inestur/Porreres",1
"Caso Inestur/Minser","Caso Inestur/Spa",1
"Caso Inestur/Porreres","Caso Inestur/Spa",1
"Caso Gürtel/AENA","Caso Gürtel/Arganda",2
"Caso Gürtel/AENA","Caso Gürtel/Ayto. de Jerez",1
"Caso Gürtel/AENA","Caso Gürtel/Boadilla",2
"Caso Gürtel/AENA","Caso Gürtel/Caja B PP Valencia",1
"Caso Gürtel/AENA","Caso Gürtel/Contratos Valencia",1
"Caso Gürtel/AENA","Caso Gürtel/Fitur",1
"Caso Gürtel/AENA","Caso Gürtel/Primera Época",2
"Caso Gürtel/AENA","Caso Gürtel/Visita del Papa",1
"Caso Gürtel/Arganda","Caso Gürtel/Caja B PP Valencia",2
"Caso Gürtel/Arganda","Caso Gürtel/Visita del Papa",3
"Caso Gürtel/Ayto. de Jerez","Caso Gürtel/Caja B PP Valencia",2
